1236	103	12	105	10	7	3
4538	191	15	120	8	4	4
1812	20	15	113	7	5	6
2107	149	5	116	9	3	4
534	66	12	104	10	6	3
4605	94	13	119	9	3	3
1426	115	9	114	8	5	4
4787	107	21	124	7	5	4
4680	122	7	115	10	5	4
1895	15	10	118	7	4	5
658	112	17	120	10	5	4
3933	126	8	126	9	5	5
3392	130	10	130	7	3	5
1755	17	10	113	9	7	5
35	22	13	115	10	6	5
77	1	14	108	7	6	6
1102	109	10	122	10	5	3
607	161	11	110	10	4	4
246	132	12	124	8	6	5
3277	192	7	113	8	4	4
4817	84	8	120	9	5	3
3402	68	12	108	9	4	3
1446	153	12	118	10	7	4
3479	91	14	123	8	4	5
4800	64	12	134	8	5	4
6	13	6	132	8	6	4
4811	80	13	135	8	4	4
4047	62	17	125	8	5	4
2968	184	9	123	9	3	4
4498	132	14	124	8	4	5
1919	125	9	95	9	4	3
4781	129	16	119	9	2	4
2196	200	11	114	12	6	3
1943	70	13	136	10	5	5
3344	53	5	101	6	4	5
4254	144	17	100	8	4	5
317	186	8	136	9	4	3
3715	24	14	123	8	5	5
808	200	11	114	13	6	3
649	196	7	100	10	4	4
4798	168	16	124	7	4	4
2844	17	11	113	10	5	5
3648	157	10	107	10	4	3
4432	129	9	119	8	2	4
244	142	15	118	7	5	5
3609	207	10	127	9	3	4
4052	160	13	115	8	5	4
2980	34	15	119	10	5	4
1933	120	9	111	10	5	4
3921	83	12	117	10	5	4
1846	197	8	111	10	5	4
1586	26	12	107	11	6	5
2281	20	12	113	9	5	6
4113	49	15	109	8	5	3
3392	112	10	120	7	3	4
2800	172	9	122	8	5	3
2181	131	15	98	7	4	6
542	95	10	118	11	6	4
4266	14	13	95	8	4	5
2426	191	12	120	9	4	4
3052	161	16	110	7	5	4
4059	192	14	113	9	5	4
2420	31	10	112	8	4	5
571	60	9	100	9	5	4
3479	196	14	100	8	4	4
16	200	5	114	10	6	3
4188	203	14	109	11	5	4
3984	107	11	124	10	5	4
533	168	14	124	10	6	4
4049	25	21	110	7	5	4
3313	76	12	113	7	5	5
1309	84	7	120	9	4	3
459	63	12	112	9	6	5
1831	12	12	120	9	7	5
2721	23	12	121	9	6	4
3247	182	9	124	9	5	4
3545	114	10	125	10	4	4
4891	152	12	112	10	5	5
4491	8	6	125	9	4	4
2529	74	13	118	9	6	5
3923	126	13	126	8	5	5
3736	6	9	121	8	5	4
